OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2024-09-27T03:38:19.919616,15.49756475,.00072,51.6368,170.3442,35.8174,324.3297,0,U,25544,999,47436,.49755E-3,.27818E-3,0
CSS (TIANHE),2021-035A,2024-09-26T19:38:39.587136,15.62787661,.0004343,41.4671,183.4093,31.2792,328.8306,0,U,48274,999,19499,.66113E-3,.61405E-3,0
ISS (NAUKA),2021-066A,2024-09-26T19:54:02.801376,15.49740538,.0007236,51.6366,171.9406,35.0669,325.0795,0,U,49044,999,18038,.53678E-3,.30039E-3,0
FREGAT DEB,2011-037PF,2024-09-26T16:08:55.275072,12.20600309,.0906381,51.6378,55.3531,344.6057,12.8811,0,U,49271,999,14758,.36111E-1,.14155E-3,0
CSS (WENTIAN),2022-085A,2024-09-26T19:38:39.587136,15.62787661,.0004343,41.4671,183.4093,31.2792,328.8306,0,U,53239,999,12428,.66113E-3,.61405E-3,0
CSS (MENGTIAN),2022-143A,2024-09-26T19:38:39.587136,15.62787661,.0004343,41.4671,183.4093,31.2792,328.8306,0,U,54216,999,10870,.66113E-3,.61405E-3,0
TIANZHOU-7,2024-013A,2024-09-26T19:38:39.587136,15.62787661,.0004343,41.4671,183.4093,31.2792,328.8306,0,U,58811,999,15992,.66113E-3,.61405E-3,0
CREW DRAGON 8,2024-042A,2024-09-26T19:54:02.801376,15.49740538,.0007236,51.6366,171.9406,35.0669,325.0795,0,U,59097,999,47269,.53678E-3,.30039E-3,0
1998-067WL,1998-067WL,2024-09-27T02:12:12.187008,15.70402964,.0001757,51.6285,160.1568,175.8758,184.2254,0,U,59561,999,2522,.97335E-3,.122782E-2,0
SNOOPI,1998-067WN,2024-09-25T19:05:57.395616,16.16734086,.0007784,51.6152,156.6182,233.6043,126.4257,0,U,59563,999,2516,.16132E-2,.223949E-1,.64862E-2
SHENZHOU-18 (SZ-18),2024-078A,2024-09-26T19:38:39.587136,15.62787661,.0004343,41.4671,183.4093,31.2792,328.8306,0,U,59591,999,2388,.66113E-3,.61405E-3,0
SZ-17 MODULE,2023-164C,2024-09-27T03:21:54.130176,15.78568712,.0012832,41.4729,173.3672,253.8336,106.1097,0,U,59624,999,2357,.57295E-3,.104485E-2,0
PROGRESS-MS 27,2024-103A,2024-09-26T19:54:02.801376,15.49740538,.0007236,51.6366,171.9406,35.0669,325.0795,0,U,59913,999,1875,.53678E-3,.30039E-3,0
CYGNUS NG-21,2024-139A,2024-09-26T19:54:02.801376,15.49740538,.0007236,51.6366,171.9406,35.0669,325.0795,0,U,60378,999,829,.53678E-3,.30039E-3,0
PROGRESS-MS 28,2024-145A,2024-09-26T19:54:02.801376,15.49740538,.0007236,51.6366,171.9406,35.0669,325.0795,0,U,60450,999,659,.53678E-3,.30039E-3,0
BINAR-4,1998-067WS,2024-09-27T02:54:32.739264,15.59722993,.0005427,51.6344,169.3930,62.2840,297.8703,0,U,60952,999,447,.28034E-2,.235023E-2,0
COSMOGIRLSAT,1998-067WT,2024-09-27T03:26:13.960896,15.56628125,.0008879,51.6357,169.5413,50.6488,309.5289,0,U,60953,999,447,.17644E-2,.129863E-2,0
SAKURA,1998-067WU,2024-09-27T00:10:56.188128,15.57412794,.0008426,51.6350,170.1359,52.3712,307.8044,0,U,60954,999,445,.21339E-2,.162474E-2,0
1998-067WV,1998-067WV,2024-09-26T19:44:30.821280,15.64614804,.0002998,51.6333,170.3995,83.3091,276.8245,0,U,60955,999,443,.35963E-2,.370889E-2,0
BINAR-2,1998-067WW,2024-09-27T02:59:34.087776,15.58797940,.0006486,51.6311,169.4119,59.5973,300.5660,0,U,60956,999,446,.23639E-2,.190234E-2,0
BINAR-3,1998-067WX,2024-09-26T23:38:39.283296,15.60441462,.0005166,51.6326,169.9824,61.7120,298.4394,0,U,60957,999,643,.28359E-2,.244657E-2,0
1998-067WY,1998-067WY,2024-09-26T18:16:23.317536,15.56107212,.0009464,51.6361,171.4930,47.7146,312.4647,0,U,60958,999,440,.17071E-2,.123141E-2,0
SOYUZ-MS 26,2024-162A,2024-09-26T19:54:02.801376,15.49740538,.0007236,51.6366,171.9406,35.0669,325.0795,0,U,61043,999,47269,.53678E-3,.30039E-3,0
