OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2024-10-07T10:42:37.931904,12.53680613,.0011924,101.9875,277.1788,229.5212,288.3923,0,U,7530,999,28334,.20835E-3,-.13E-6,0
PHASE 3B (AO-10),1983-058B,2024-09-30T07:03:09.021888,2.05871375,.6033769,27.3675,322.5217,305.0498,12.3225,0,U,14129,999,28261,0,-.239E-5,0
UOSAT 2 (UO-11),1984-021B,2024-10-07T09:23:35.776320,14.87594399,.0009868,97.7199,247.4296,71.3295,288.8992,0,U,14781,999,18616,.87895E-3,.7946E-4,0
LUSAT (LO-19),1990-005G,2024-10-06T18:05:28.626720,14.33692087,.0010939,98.8922,274.0147,214.4678,145.5797,0,U,20442,999,81376,.39978E-3,.1063E-4,0
EYESAT A (AO-27),1993-061C,2024-10-07T10:42:55.136736,14.30606267,.0009429,98.7755,335.3285,109.0915,251.1289,0,U,22825,999,61893,.33513E-3,.83E-5,0
ITAMSAT (IO-26),1993-061D,2024-10-06T15:00:50.720256,14.30997492,.0009954,98.7703,334.3677,97.6268,262.6046,0,U,22826,999,61883,.33602E-3,.839E-5,0
RADIO ROSTO (RS-15),1994-085A,2024-10-06T20:42:35.167392,11.27578833,.0147188,64.8158,223.1667,122.5283,238.9958,0,U,23439,999,22618,.3481E-3,-.3E-6,0
JAS-2 (FO-29),1996-046B,2024-10-07T01:27:58.623552,13.53215106,.0348947,98.5810,201.0512,258.4735,97.7038,0,U,24278,999,38981,.16575E-3,.125E-5,0
TECHSAT 1B (GO-32),1998-043D,2024-10-06T21:07:01.288992,14.24144817,.0001384,98.9371,249.3490,149.2798,210.8461,0,U,25397,999,36331,.33648E-3,.729E-5,0
ISS (ZARYA),1998-067A,2024-10-07T12:48:14.938272,15.49376493,.0008961,51.6369,118.9253,46.9406,313.2331,0,U,25544,999,47597,.6015E-3,.33313E-3,0
PCSAT (NO-44),2001-043C,2024-10-07T10:16:38.512128,14.31417288,.0007679,67.0526,41.5480,265.4309,94.5915,0,U,26931,999,20217,.57903E-3,.1456E-4,0
SAUDISAT 1C (SO-50),2002-058C,2024-10-06T21:00:28.032480,14.79870645,.0028018,64.5548,238.0470,51.6706,308.6911,0,U,27607,999,17284,.10834E-2,.8119E-4,0
CUTE-1 (CO-55),2003-031E,2024-10-06T18:56:46.021056,14.23520806,.0009742,98.6799,286.2946,173.9803,186.1494,0,U,27844,999,10366,.87061E-3,.1938E-4,0
CUBESAT XI-IV (CO-57),2003-031J,2024-10-06T18:26:51.417888,14.22925152,.0009329,98.6829,286.4529,190.3784,169.7203,0,U,27848,999,10340,.74666E-3,.1636E-4,0
MOZHAYETS 4 (RS-22),2003-042A,2024-10-07T13:42:26.159040,14.70804082,.0012668,98.3053,79.7025,67.6881,6.7700,0,U,27939,999,12479,.10765E-2,.6535E-4,0
CUBESAT XI-V,2005-043F,2024-10-07T08:25:40.020960,14.68817125,.0015209,98.2181,57.5124,6.5976,353.5426,0,U,28895,999,1114,.17997E-2,.10487E-3,0
CUTE-1.7+APD II (CO-65),2008-021C,2024-10-06T20:31:59.473344,14.99107098,.0008221,97.7690,245.4793,329.3935,30.6807,0,U,32785,999,89226,.16533E-2,.20087E-3,0
SEEDS II (CO-66),2008-021J,2024-10-07T09:20:35.676384,15.07964958,.0002127,97.7042,252.2802,319.1116,40.9952,0,U,32791,999,89348,.27155E-2,.4189E-3,0
YUBILEINY (RS-30),2008-025A,2024-10-07T12:03:56.447424,12.43149854,.0019238,82.5085,19.6183,217.0357,142.9396,0,U,32953,999,74308,.50224E-3,.8E-6,0
KKS-1 (KISEKI),2009-002H,2024-10-06T20:00:38.937600,14.79695811,.0009719,98.1259,183.7279,123.6628,236.5511,0,U,33499,999,84505,.10347E-2,.7729E-4,0
SWISSCUBE,2009-051B,2024-10-07T03:00:27.835488,14.59819955,.0006882,98.4517,166.6245,344.8252,15.2740,0,U,35932,999,79892,.14394E-2,.6839E-4,0
BEESAT-1,2009-051C,2024-10-06T16:10:24.445920,14.59446574,.0005628,98.4450,166.9217,2.0774,358.0447,0,U,35933,999,79888,.11724E-2,.5514E-4,0
ITUPSAT1,2009-051E,2024-10-07T02:42:47.718720,14.58355101,.0007965,98.4548,167.0898,3.4179,356.7072,0,U,35935,999,79860,.12308E-2,.5656E-4,0
XIWANG-1 (HOPE-1),2009-072B,2024-10-07T10:34:57.184032,13.16409631,.0007152,100.3091,236.8252,202.4549,157.6252,0,U,36122,999,71182,.20466E-3,.34E-6,0
O/OREOS (USA 219),2010-062C,2024-10-06T17:54:47.099808,14.88636630,.0014743,71.9747,36.6609,169.9849,190.1616,0,U,37224,999,2442,.12328E-2,.11485E-3,0
JUGNU,2011-058B,2024-10-07T04:20:06.234144,14.13352552,.0018738,19.9601,102.0574,92.7690,63.8552,0,U,37839,999,67158,.64888E-3,.1504E-4,0
SRMSAT,2011-058D,2024-10-06T21:50:48.363936,14.11231880,.0011679,19.9710,200.9968,242.4367,178.8301,0,U,37841,999,67036,.48326E-3,.115E-4,0
STRAND-1,2013-009E,2024-10-06T22:57:04.151520,14.36332195,.0007783,98.3812,106.1941,280.7384,79.2926,0,U,39090,999,60830,.71867E-3,.206E-4,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2024-10-07T02:51:33.886944,14.91497699,.0049707,97.7466,234.7933,147.2990,213.1322,0,U,39417,999,58825,.17184E-2,.1759E-3,0
GOMX-1,2013-066Q,2024-10-07T11:57:24.003936,14.65360023,.0135817,97.7122,149.0590,255.4012,103.2099,0,U,39430,999,57948,.15964E-2,.9841E-4,0
CUBEBUG-2 (LO-74),2013-066AA,2024-10-06T14:51:14.843520,14.85458730,.0065015,97.8208,222.0492,269.6478,89.7287,0,U,39440,999,58606,.16614E-2,.14851E-3,0
FUNCUBE-1 (AO-73),2013-066AE,2024-10-06T15:23:21.282720,14.95019797,.004792,97.7327,237.7805,127.5005,233.0587,0,U,39444,999,58674,.20661E-2,.23127E-3,0
UWE-3,2013-066AG,2024-10-07T10:12:55.816128,14.88265735,.0056732,97.7919,228.9609,208.2394,151.5743,0,U,39446,999,58597,.1762E-2,.16744E-3,0
UNISAT-6,2014-033C,2024-10-06T10:44:09.663648,14.81521111,.005036,97.7162,78.5311,302.4497,57.1852,0,U,40012,999,55430,.14533E-2,.11612E-3,0
DUCHIFAT-1,2014-033M,2024-10-07T10:51:02.164896,15.12681967,.0015049,98.1000,271.4985,82.8169,277.4770,0,U,40021,999,56106,.31597E-2,.5575E-3,0
QB50P1,2014-033R,2024-10-07T03:24:05.576544,15.02844424,.0013024,98.0539,245.8798,152.6822,207.5089,0,U,40025,999,56018,.20342E-2,.2733E-3,0
KAITUO 1A,2015-049F,2024-10-07T11:41:44.534400,15.71632209,.0002663,97.4715,303.5914,212.1420,147.9681,0,U,40904,999,50191,.22343E-2,.296627E-2,0
XW-2C,2015-049H,2024-10-07T11:56:15.098208,15.55019521,.0004194,97.4694,302.0499,230.7013,129.3869,0,U,40906,999,50184,.16312E-2,.110721E-2,0
XW-2D,2015-049J,2024-10-07T02:16:12.182880,15.73796390,.0004217,97.4575,305.9870,189.2624,170.8563,0,U,40907,999,50213,.18986E-2,.275499E-2,0
